user_id,similar,score,rank
75,19741,0.922385,1
75,23947,0.918651,2
75,51901,0.898325,3
75,64642,0.892253,4
75,5954,0.86156,5
75,12986,0.851462,6
75,41130,0.850355,7
75,44287,0.846801,8
75,37217,0.817581,9
75,13376,0.811486,10
78,41201,0.903164,1
78,19963,0.890853,2
78,71509,0.872554,3
78,18510,0.839993,4
78,68722,0.834983,5
78,26819,0.818743,6
78,33139,0.807422,7
78,36538,0.806895,8
78,69590,0.805991,9
78,31209,0.797195,10
127,38281,0.909265,1
127,17813,0.87631,2
127,9245,0.874064,3
127,19899,0.873956,4
127,58613,0.871572,5
127,19909,0.870639,6
127,19562,0.868086,7
127,54980,0.867715,8
127,20758,0.858338,9
127,8094,0.858119,10
170,70100,0.960948,1
170,50846,0.913467,2
170,2558,0.90768,3
170,60374,0.896764,4
170,63491,0.886823,5
170,26582,0.877059,6
170,58417,0.876911,7
170,35335,0.873614,8
170,45290,0.872251,9
170,13561,0.868307,10
175,8881,0.908465,1
175,14709,0.903624,2
175,56915,0.862275,3
175,35051,0.856157,4
175,43281,0.846123,5
175,30500,0.83899,6
175,1225,0.836232,7
175,30465,0.835015,8
175,59078,0.820011,9
175,66978,0.817997,10
190,1267,0.944804,1
190,60863,0.935796,2
190,49626,0.878155,3
190,68304,0.862819,4
190,23865,0.838728,5
190,3017,0.82405,6
190,636,0.814694,7
190,325,0.81074,8
190,1224,0.810304,9
190,33141,0.803321,10
267,66929,0.885522,1
267,22061,0.8566,2
267,32512,0.816612,3
267,48326,0.815273,4
267,24695,0.809917,5
267,46272,0.808021,6
267,4198,0.801459,7
267,15974,0.785885,8
267,59529,0.779722,9
267,13029,0.762338,10
325,10783,0.889569,1
325,1267,0.88069,2
325,32035,0.877955,3
325,1224,0.836717,4
325,11228,0.829705,5
325,33141,0.816891,6
325,190,0.81074,7
325,25889,0.810162,8
325,49236,0.798558,9
325,60229,0.797399,10
383,37025,0.924316,1
383,14246,0.897697,2
383,69625,0.892745,3
383,45050,0.877334,4
383,58001,0.861428,5
383,64540,0.850828,6
383,45236,0.848609,7
383,40421,0.847343,8
383,56915,0.845746,9
383,15780,0.831107,10
476,493,0.916025,1
476,2108,0.864693,2
476,56686,0.85048,3
476,32031,0.84669,4
476,15853,0.8384,5
476,27152,0.82425,6
476,57274,0.823237,7
476,3868,0.821384,8
476,10132,0.812134,9
476,59474,0.80838,10
477,39390,0.904658,1
477,41027,0.843943,2
477,44038,0.816175,3
477,1910,0.79154,4
477,23172,0.779872,5
477,57380,0.773659,6
477,16295,0.769175,7
477,11239,0.726837,8
477,38646,0.721295,9
477,45187,0.715592,10
493,476,0.916025,1
493,59474,0.856454,2
493,36450,0.851157,3
493,2108,0.836166,4
493,57274,0.834185,5
493,3868,0.832945,6
493,15974,0.824085,7
493,32031,0.820056,8
493,44847,0.810315,9
493,54817,0.802222,10
498,14570,0.872197,1
498,50324,0.865704,2
498,26243,0.852241,3
498,10154,0.820968,4
498,44744,0.816462,5
498,62565,0.812946,6
498,8683,0.79702,7
498,2218,0.786741,8
498,43994,0.783109,9
498,10476,0.771432,10
533,40703,0.893919,1
533,25801,0.849998,2
533,59686,0.839958,3
533,20025,0.837429,4
533,61400,0.834677,5
533,34329,0.829787,6
533,59092,0.811942,7
533,18742,0.803321,8
533,34157,0.803264,9
533,55645,0.792661,10
545,52129,0.941998,1
545,3392,0.91451,2
545,52147,0.895372,3
545,12056,0.888344,4
545,19741,0.87583,5
545,64642,0.871874,6
545,8168,0.846608,7
545,55620,0.822683,8
545,44287,0.807847,9
545,17260,0.800968,10
548,34374,0.921693,1
548,5240,0.878118,2
548,17463,0.87484,3
548,40421,0.864508,4
548,25412,0.860308,5
548,10844,0.851994,6
548,14246,0.840716,7
548,51441,0.836638,8
548,37025,0.836042,9
548,26733,0.828881,10
580,66416,0.93206,1
580,56472,0.93026,2
580,5459,0.922929,3
580,35002,0.920475,4
580,48911,0.90854,5
580,70369,0.903716,6
580,49996,0.887876,7
580,37882,0.875371,8
580,54152,0.866475,9
580,8930,0.865661,10
622,13454,0.922248,1
622,16862,0.873499,2
622,41622,0.871194,3
622,25913,0.825873,4
622,21237,0.823662,5
622,51301,0.823415,6
622,41103,0.816856,7
622,40512,0.814904,8
622,25686,0.8007,9
622,60002,0.800438,10
636,39524,0.932863,1
636,61836,0.86812,2
636,60963,0.852293,3
636,17946,0.847838,4
636,49626,0.844138,5
636,52459,0.840884,6
636,62787,0.839644,7
636,12458,0.831121,8
636,3017,0.82509,9
636,11457,0.8208,10
637,788,0.960068,1
637,63542,0.931349,2
637,45314,0.912915,3
637,51191,0.897011,4
637,43004,0.896502,5
637,60510,0.89321,6
637,6119,0.891891,7
637,23988,0.887195,8
637,10563,0.882122,9
637,41154,0.882009,10
728,37580,0.845942,1
728,56354,0.834526,2
728,64363,0.834298,3
728,62637,0.831172,4
728,52379,0.829209,5
728,50041,0.827206,6
728,27313,0.818657,7
728,11090,0.81592,8
728,2589,0.814828,9
728,19054,0.805319,10
732,39033,0.901459,1
732,46033,0.861272,2
732,30879,0.836121,3
732,68934,0.829738,4
732,58657,0.828244,5
732,46586,0.826981,6
732,8726,0.820535,7
732,66207,0.812682,8
732,41688,0.807336,9
732,59527,0.797068,10
783,21184,0.857362,1
783,6443,0.852537,2
783,61836,0.847545,3
783,10025,0.825817,4
783,52678,0.814645,5
783,12681,0.812608,6
783,22712,0.804291,7
783,6018,0.797006,8
783,27238,0.79612,9
783,10783,0.790851,10
788,637,0.960068,1
788,51191,0.924547,2
788,13938,0.90832,3
788,65135,0.906145,4
788,12949,0.902271,5
788,45314,0.897972,6
788,18506,0.895552,7
788,43004,0.891946,8
788,60510,0.883356,9
788,10563,0.880638,10
894,44706,0.951301,1
894,29801,0.950262,2
894,62547,0.90965,3
894,11090,0.893607,4
894,3849,0.882878,5
894,40895,0.881391,6
894,68943,0.852522,7
894,43948,0.847805,8
894,59165,0.836717,9
894,63024,0.836051,10
922,3369,0.940027,1
922,24234,0.905351,2
922,57973,0.896016,3
922,1510,0.895454,4
922,66063,0.886631,5
922,34405,0.87147,6
922,16389,0.871133,7
922,64472,0.871019,8
